product_a,product_a_name,product_b,product_b_name,co_count
prod_04544,Synergistic Multimedia Orchestration,prod_04974,Persistent Asynchronous Workforce,3
prod_00068,Vision-Oriented Cohesive Function,prod_00174,Sharable Interactive Solution,3
prod_01527,Robust Context-Sensitive Parallelism,prod_02780,Vision-Oriented Impactful Core,3
prod_01405,Monitored 5Thgeneration Circuit,prod_03829,User-Centric Value-Added Framework,3
prod_01840,Function-Based Modular Array,prod_03669,Optional Exuding Circuit,3
prod_02365,Networked Interactive Functionalities,prod_04308,Enhanced Well-Modulated Forecast,3
prod_00534,Managed Discrete Implementation,prod_02379,Total Content-Based Standardization,3
prod_03128,Operative Context-Sensitive Collaboration,prod_04072,Proactive Uniform Initiative,3
prod_00568,Seamless Radical Infrastructure,prod_00912,Implemented Logistical Superstructure,2
prod_02998,Phased Stable Moderator,prod_04456,Visionary Zero-Defect Firmware,2
